"question_id","question_name","form","question_lang","question_desc","question_notes","question_unit","question_posstm","question_negstm","question_perfstmt"
162,"Código do pacote","Participant registration form","pt","Código do pacote","Give a package to the farmer","",NA,NA,NA
206,"Ponto de entrega","Participant registration form","pt","Por favor, registre a localização GPS do local de entrega do pacote","GPS point where the package is delivered","",NA,NA,NA
1548,"Idade","Participant registration form","pt","Indique a idade do participante",NA,"anos",NA,NA,NA
2290,"Consentimento","Participant registration form","pt","Você aceita sediar um experimento tricot e fornecer as informações necessárias?",NA,"-",NA,NA,NA
2296,"ADM1","Participant registration form","pt","Nome da unidade administrativa nível 1 (estado, província, região, etc)",NA,"",NA,NA,NA
199,"Nome do participante","Participant registration form","pt","Nome do participante","The name of the participant","",NA,NA,NA
2297,"ADM2","Participant registration form","pt","Nome da zona administrativa de nível 2 (cidade, condado, município, área de governo local, etc.)",NA,"",NA,NA,NA
2635,"Sexo","Participant registration form","pt","Sexo do participante ",NA,"-",NA,NA,NA
1581,"Experiência com o cultivo","Participant registration form","pt","Por favor, indique há quantos anos você cultiva essa planta?",NA,"anos ",NA,NA,NA
2298,"ADM3","Participant registration form","pt","Nome da região administrativa de nível 3 (comunidade, vila, etc.)",NA,"",NA,NA,NA
1547,"Telefone","Participant registration form","pt","Número do telefone do participante ",NA,"",NA,NA,NA
163,"Participante","Vegetative - Establishment","pt","Selecione o participante","To select a previously registered participant.","Selecione o participante",NA,NA,NA
1736,"À tempo","Vegetative - Establishment","pt","O seu pacote tricot foi entregue à tempo?",NA,"-",NA,NA,NA
1530,"Data de plantio","Vegetative - Establishment","pt","Indicar a data de plantio do ensaio",NA,"-",NA,NA,NA
1531,"Ponto de GPS","Vegetative - Establishment","pt","Ponto de GPS de onde o ensaio foi estabelecido",NA,"-",NA,NA,NA
1532,"Variedade local","Vegetative - Establishment","pt","Qual o nome da variedade local que você plantou ou geralmente planta?",NA,"",NA,NA,NA
1536,"Uso anterior do solo","Vegetative - Establishment","pt","Qual era o uso anterior do solo no local onde a parcela foi estabelecida?",NA,"",NA,NA,NA
1772,"Modo de preparação do solo","Vegetative - Establishment","pt","Que equipamento foi usado para o preparo do solo?",NA,"-",NA,NA,NA
1745,"Inclinação","Vegetative - Establishment","pt","Qual é a inclinação da área onde você estabeleceu seu ensaio tricot?",NA,"-",NA,NA,NA
3459,"Estabelecimento da planta","Vegetative - Establishment","pt","-",NA,"-","Qual variedade se estabeleceu primeiro?","Qual variedade se estabeleceu por último?",NA
