"question_id","question_name","form","question_lang","question_desc","question_notes","question_unit","question_posstm","question_negstm","question_perfstmt"
1637,"Quién controla el intercambio de semilla","Socio-economic baseline","es","¿Quién en su hogar es el/la principal responsable de la conservación o intercambio de semillas de {su cultivo tricot}?",NA,"-",NA,NA,NA
1756,"Fuente de variedades","Socio-economic baseline","es","¿Cuál es la fuente de la semilla de {su cultivo tricot}?",NA,"-",NA,NA,NA
1754,"Número de variedades","Socio-economic baseline","es","¿Cuántas variedades diferentes de {su cultivo tricot} produce su hogar?",NA,"",NA,NA,NA
1755,"Nombre de la variedad","Socio-economic baseline","es","¿Cuál es el nombre de la(s) variedad(es) de {su cultivo tricot} que suele producir?",NA,"-",NA,NA,NA
1757,"Marca de la variedad","Socio-economic baseline","es","¿La semilla que compra tiene marca y etiqueta? Si sí, indique el nombre.",NA,"-",NA,NA,NA
1752,"Formas de venta","Socio-economic baseline","es","¿Cómo suele vender su {cultivo tricot}?",NA,"-",NA,NA,NA
1636,"Quién controla la venta","Socio-economic baseline","es","¿Quién en su hogar es el/la principal responsable de la venta de {su cultivo tricot}?",NA,"-",NA,NA,NA
1753,"Distancia al mercado","Socio-economic baseline","es","¿Qué tan lejos está el mercado o lugar más cercano donde vende su {cultivo tricot} desde su finca?",NA,"Distancia a pie en minutos",NA,NA,NA
1750,"Proporción vendida","Socio-economic baseline","es","¿Qué proporción de su cosecha de {su cultivo tricot} suele vender?",NA,"%",NA,NA,NA
1751,"Ingreso por venta del cultivo","Socio-economic baseline","es","¿Qué proporción de los ingresos totales de su hogar proviene de la venta de {su cultivo tricot}?",NA,"%",NA,NA,NA
1635,"Quién controla la producción","Socio-economic baseline","es","¿Quién en su hogar es el/la principal responsable de la producción de {su cultivo tricot}?",NA,"-",NA,NA,NA
1664,"Producción en los últimos 12 meses","Socio-economic baseline","es","¿Produjo {su cultivo tricot} durante los últimos 12 meses?",NA,"-",NA,NA,NA
1748,"Frecuencia de producción","Socio-economic baseline","es","¿Cuántas veces al año suele producir su {cultivo tricot}?",NA,"veces/año",NA,NA,NA
1665,"Razón sin producción","Socio-economic baseline","es","Si no produjo durante los últimos 12 meses, ¿por qué?",NA,"",NA,NA,NA
