"question_id","question_name","form","question_lang","question_desc","question_notes","question_unit","question_posstm","question_negstm","question_perfstmt"
162,"Package code","Participant registration form","en","Package code","Give a package to the farmer","",NA,NA,NA
206,"Point of delivery","Participant registration form","en","Please register the GPS location where the seeds were delivered","GPS point where the package is delivered","",NA,NA,NA
1548,"Age","Participant registration form","en","Please indicate your age",NA,"years",NA,NA,NA
2290,"Consent","Participant registration form","en","Are you willingly to accept hosting a tricot trial and provide required information from the trial?",NA,"-",NA,NA,NA
2296,"ADM1","Participant registration form","en","Name of administrative zone level 1 (state, province, region, etc)",NA,"",NA,NA,NA
199,"Participant name","Participant registration form","en","Participant name","The name of the participant","",NA,NA,NA
2297,"ADM2","Participant registration form","en","Name of administrative zone level 2 (city, county, town, local govern area, etc)",NA,"",NA,NA,NA
2635,"Gender","Participant registration form","en","Please select your gender",NA,"-",NA,NA,NA
1581,"Experience with the crop","Participant registration form","en","Please indicate how many years you have growing the crop?",NA,"years",NA,NA,NA
2298,"ADM3","Participant registration form","en","Name of administrative region level 3 (community, village etc)",NA,"",NA,NA,NA
1547,"Telephone","Participant registration form","en","Please indicate your telephone number ",NA,"",NA,NA,NA
163,"Select the participant","Vegetative - Establishment","en","Select the participant","To select a previously registered participant.","Select a participant",NA,NA,NA
1736,"On time","Vegetative - Establishment","en","Was your trial package delivered on time?",NA,"-",NA,NA,NA
1530,"Planting date","Vegetative - Establishment","en","Date of trial establishment",NA,"-",NA,NA,NA
1531,"Trial GPS","Vegetative - Establishment","en","The GPS location of the on-farm trial",NA,"-",NA,NA,NA
1532,"Local variety","Vegetative - Establishment","en","What is the name of the local variety planted in the trial as check?",NA,"",NA,NA,NA
1536,"Previous land use","Vegetative - Establishment","en","What was the previous land use of the on-farm plot site?",NA,"",NA,NA,NA
1772,"Mode of land preparation","Vegetative - Establishment","en","What equipment was used for land preparation?",NA,"-",NA,NA,NA
1745,"Slope","Vegetative - Establishment","en","What is the slope of the area you established your tricot trial?",NA,"-",NA,NA,NA
3459,"Plant establishment","Vegetative - Establishment","en","-",NA,"-","Which option had the first establishment?","Which option had the last establishment?",NA
4982,"Virus symptoms","Vegetative - Establishment","en","-",NA,"-","Which variety shows fewer virus symptoms?","Which variety shows more virus symptoms?",NA
163,"Select the participant","Vegetative - Drought and heat tolerance","en","Select the participant","To select a previously registered participant.","Select a participant",NA,NA,NA
1552,"Vigor","Vegetative - Drought and heat tolerance","en","-",NA,"-","Which option showed the best vigor?","Which option showed the worst vigor?",NA
1555,"Drought tolerance","Vegetative - Drought and heat tolerance","en","-",NA,"-","Which option is more tolerant to drought?","Which option is more susceptible to drought?",NA
2636,"Pests and Diseases","Vegetative - Drought and heat tolerance","en","-",NA,"-","Which option is more resistant to pests and diseases? ","Which option is more susceptible to pests and diseases?",NA
163,"Select the participant","Harvest - Technician assessment","en","Select the participant","To select a previously registered participant.","Select a participant",NA,NA,NA
